Date,Project,Channel,Campaign,Spend,Impressions,Clicks,Leads,Conversions,Revenue,Foot_Traffic,Flyers_Distributed
2026-07-01,SkinGlow,Meta Ads,MG-Prospecting,12000,420000,6300,310,42,58800,0,0
2026-07-01,SkinGlow,TikTok Ads,TT-Awareness,15000,890000,7100,180,15,21000,0,0
2026-07-01,SkinGlow,Affiliate,AF-Influencer,8000,0,0,240,60,102000,0,0
2026-07-01,SkinGlow,Booth,Booth-CentralWorld,20000,0,0,520,145,290000,4200,0
2026-07-01,SkinGlow,Flyer,Flyer-BTS,5000,0,0,90,11,15400,0,8000
2026-07-08,SkinGlow,Meta Ads,MG-Prospecting,12000,410000,5900,295,38,53200,0,0
2026-07-08,SkinGlow,TikTok Ads,TT-Awareness,15000,910000,6800,165,12,16800,0,0
2026-07-08,SkinGlow,Affiliate,AF-Influencer,9000,0,0,270,68,115600,0,0
2026-07-08,SkinGlow,Booth,Booth-CentralWorld,20000,0,0,560,158,316000,4500,0
2026-07-08,SkinGlow,Flyer,Flyer-BTS,5000,0,0,82,9,12600,0,8000
2026-07-01,FitFuel,Meta Ads,MG-Retarget,10000,260000,4800,220,55,99000,0,0
2026-07-01,FitFuel,TikTok Ads,TT-Conversion,9000,540000,5200,140,28,50400,0,0
2026-07-01,FitFuel,Affiliate,AF-Coupon,6000,0,0,150,30,42000,0,0
2026-07-01,FitFuel,Booth,Booth-Fitness-Expo,14000,0,0,300,95,171000,2600,0
2026-07-08,FitFuel,Meta Ads,MG-Retarget,10000,255000,4700,215,53,95400,0,0
2026-07-08,FitFuel,TikTok Ads,TT-Conversion,9000,560000,5400,148,31,55800,0,0
2026-07-08,FitFuel,Affiliate,AF-Coupon,6500,0,0,168,35,49000,0,0
2026-07-08,FitFuel,Booth,Booth-Fitness-Expo,14000,0,0,315,102,183600,2750,0
